model_id,description,tags,downloads,likes,language
bartowski/mlabonne_Qwen3-14B-abliterated-GGUF,text-generation,"gguf, text-generation, base_model:mlabonne/Qwen3-14B-abliterated, base_model:quantized:mlabonne/Qwen3-14B-abliterated, endpoints_compatible, region:us, conversational",4444,9,unknown
XiaomiMiMo/MiMo-7B-RL-Zero,,"safetensors, mimo, custom_code, license:mit, region:us",121,9,unknown
turboderp/Qwen3-32B-exl3,,"license:apache-2.0, region:us",73,9,unknown
openai/clip-vit-large-patch14,zero-shot-image-classification,"transformers, pytorch, tf, jax, safetensors, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",44839269,1714,unknown
pyannote/speaker-diarization,automatic-speech-recognition,"pyannote-audio, pyannote, pyannote-audio-pipeline, audio, voice, speech, speaker, speaker-diarization, speaker-change-detection, voice-activity-detection, overlapped-speech-detection, automatic-speech-recognition, dataset:ami, dataset:dihard, dataset:voxconverse, dataset:aishell, dataset:repere, dataset:voxceleb, arxiv:2012.01477, arxiv:2110.07058, arxiv:2005.08072, license:mit, region:us",887432,1042,unknown
suno/bark,text-to-speech,"transformers, pytorch, bark, text-to-audio, audio, text-to-speech, en, de, es, fr, hi, it, ja, ko, pl, pt, ru, tr, zh, license:mit, endpoints_compatible, region:us",35102,1330,unknown
mistralai/Mixtral-8x7B-Instruct-v0.1,text-generation,"transformers, safetensors, mixtral, text-generation, conversational, fr, it, de, es, en, base_model:mistralai/Mixtral-8x7B-v0.1, base_model:finetune:mistralai/Mixtral-8x7B-v0.1, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",494545,4400,unknown
nomic-ai/nomic-embed-text-v1.5,sentence-similarity,"sentence-transformers, onnx, safetensors, nomic_bert, feature-extraction, sentence-similarity, mteb, transformers, transformers.js, custom_code, en, arxiv:2402.01613, arxiv:2205.13147, license:apache-2.0, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",590294,620,unknown
yisol/IDM-VTON,image-to-image,"diffusers, onnx, safetensors, stable-diffusion-xl, inpainting, virtual try-on, arxiv:2403.05139, license:cc-by-nc-sa-4.0, diffusers:StableDiffusionXLInpaintPipeline, region:us",78453,599,unknown
meta-llama/Meta-Llama-3-8B,text-generation,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",409358,6155,unknown
zer0int/CLIP-GmP-ViT-L-14,zero-shot-image-classification,"transformers, safetensors, clip, zero-shot-image-classification, dataset:SPRIGHT-T2I/spright_coco, base_model:openai/clip-vit-large-patch14, base_model:finetune:openai/clip-vit-large-patch14, license:mit, endpoints_compatible, region:us",6635,438,unknown
mistralai/Mistral-Nemo-Instruct-2407,text-generation,"transformers, safetensors, mistral, text-generation, conversational, en, fr, de, es, it, pt, ru, zh, ja, base_model:mistralai/Mistral-Nemo-Base-2407, base_model:finetune:mistralai/Mistral-Nemo-Base-2407, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",161493,1526,unknown
XLabs-AI/flux-RealismLora,text-to-image,"diffusers, lora, Stable Diffusion, image-generation, Flux, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",119740,1125,unknown
Qwen/Qwen2.5-7B-Instruct,text-generation,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B, base_model:finetune:Qwen/Qwen2.5-7B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",3126816,663,unknown
bytedance-research/ChatTS-14B,text-generation,"transformers, pytorch, chatts, feature-extraction, text-generation, conversational, custom_code, zho, eng, fra, spa, por, deu, ita, rus, jpn, kor, vie, tha, ara, dataset:ChatTSRepo/ChatTS-Training-Dataset, arxiv:2412.03104, base_model:Qwen/Qwen2.5-14B-Instruct, base_model:finetune:Qwen/Qwen2.5-14B-Instruct, license:apache-2.0, region:us",1896,113,unknown
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,text-generation,"transformers, safetensors, llama, text-generation, conversational, arxiv:2501.12948, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",903336,712,unknown
openfree/pepe,text-to-image,"diffusers, text-to-image, flux, lora, template:sd-lora, ai-toolkit, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",173,34,unknown
Wan-AI/Wan2.1-T2V-1.3B,text-to-video,"diffusers, safetensors, t2v, video, video-generation, text-to-video, en, zh, license:apache-2.0, region:us",15368,323,unknown
SparkAudio/Spark-TTS-0.5B,text-to-speech,"safetensors, text-to-speech, en, zh, arxiv:2503.01710, doi:10.57967/hf/4650, license:cc-by-nc-sa-4.0, region:us",15202,629,unknown
google/gemma-3-12b-it,image-text-to-text,"transformers, safetensors, gemma3, image-text-to-text, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-12b-pt, base_model:finetune:google/gemma-3-12b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",382328,342,unknown
mlabonne/gemma-3-27b-it-abliterated-GGUF,image-text-to-text,"transformers, gguf, autoquant, image-text-to-text, base_model:google/gemma-3-27b-it, base_model:quantized:google/gemma-3-27b-it, license:gemma, endpoints_compatible, region:us, conversational",24314,75,unknown
Qwen/Qwen2.5-VL-32B-Instruct,image-text-to-text,"transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071, arxiv:2502.13923, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",421926,351,unknown
ByteDance/MegaTTS3,text-to-speech,"safetensors, text-to-speech, en, zh, arxiv:2502.18924, arxiv:2408.16532, license:apache-2.0, region:us",3962,363,unknown
openfree/Gemma-3-R1984-27B-Q6_K-GGUF,image-text-to-text,"transformers, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:VIDraft/Gemma-3-R1984-27B, base_model:quantized:VIDraft/Gemma-3-R1984-27B, license:gemma, endpoints_compatible, region:us, conversational",355,11,unknown
VIDraft/Gemma-3-R1984-12B,image-text-to-text,"transformers, safetensors, gemma3, image-text-to-text, conversational, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:google/gemma-3-12b-pt, base_model:finetune:google/gemma-3-12b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",2004,31,unknown
VIDraft/Gemma-3-R1984-4B,image-text-to-text,"transformers, safetensors, gemma3, image-text-to-text, conversational, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:google/gemma-3-4b-pt, base_model:finetune:google/gemma-3-4b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",1768,15,unknown
twinkle-ai/Llama-3.2-3B-F1-Instruct,text-generation,"transformers, safetensors, llama, text-generation, Taiwan, R.O.C, zhtw, SLM, Llama-32, conversational, en, zh, dataset:lianghsun/tw-reasoning-instruct, dataset:minyichen/tw-instruct-R1-200k, dataset:minyichen/tw_mm_R1, arxiv:2501.13921, base_model:meta-llama/Llama-3.2-3B, base_model:finetune:meta-llama/Llama-3.2-3B, license:llama3.2, model-index, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",499,9,unknown
Skywork/SkyReels-V2-I2V-14B-540P,image-to-video,"safetensors, i2v, image-to-video, arxiv:2504.13074, arxiv:2407.01392, license:other, region:us",607,67,unknown
nvidia/AceMath-RL-Nemotron-7B,text-generation,"transformers, safetensors, qwen2, text-generation, nvidia, reasoning, math, reinforcement learning, pytorch, conversational, en, license:other, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",4180,18,unknown
diffusion-cot/FLUX-Corrector,,"arxiv:2504.16080, region:us",0,10,unknown
Tesslate/Tessa-Rust-T1-7B-Q8_0-GGUF,,"transformers, gguf, llama-cpp, gguf-my-repo, dataset:Tesslate/Rust_Dataset, base_model:Tesslate/Tessa-Rust-T1-7B, base_model:quantized:Tesslate/Tessa-Rust-T1-7B, endpoints_compatible, region:us, conversational",530,33,unknown
allura-org/GLM4-9B-Neon-v2,text-generation,"transformers, safetensors, glm4, text-generation, conversational, en, dataset:allura-org/Celeste-Filtered, dataset:allura-org/neon-41k, dataset:EVA-UNIT-01/Lilith-v0.2, base_model:THUDM/GLM-4-9B-0414, base_model:finetune:THUDM/GLM-4-9B-0414, license:mit, autotrain_compatible, endpoints_compatible, region:us",107,8,unknown
Skywork/Skywork-R1V2-38B-AWQ,image-text-to-text,"transformers, pytorch, internvl_chat, image-text-to-text, conversational, custom_code, arxiv:2504.16656, arxiv:2504.05599, license:mit, endpoints_compatible, region:us",222,8,unknown
second-state/Qwen3-8B-GGUF,,"gguf, qwen3, base_model:Qwen/Qwen3-8B, base_model:quantized:Qwen/Qwen3-8B, license:other, endpoints_compatible, region:us, conversational",4377,8,unknown
Tzafon/NorthStar-0.1,,"pytorch, gemma3, base_model:google/gemma-3-27b-it, base_model:finetune:google/gemma-3-27b-it, license:gemma, region:us",18,8,unknown
ubergarm/Qwen3-235B-A22B-GGUF,text-generation,"gguf, imatrix, qwen3_moe, conversational, ik_llama.cpp, text-generation, base_model:Qwen/Qwen3-235B-A22B, base_model:quantized:Qwen/Qwen3-235B-A22B, license:mit, endpoints_compatible, region:us",168,8,unknown
huihui-ai/Qwen3-14B-abliterated,text-generation,"transformers, safetensors, qwen3, text-generation, chat, abliterated, uncensored, base_model:Qwen/Qwen3-14B, base_model:finetune:Qwen/Qwen3-14B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",35,8,unknown
bartowski/microsoft_Phi-4-reasoning-plus-GGUF,text-generation,"gguf, phi, nlp, math, code, chat, conversational, reasoning, text-generation, en, base_model:microsoft/Phi-4-reasoning-plus, base_model:quantized:microsoft/Phi-4-reasoning-plus, license:mit, endpoints_compatible, region:us",2175,8,unknown
ubergarm/Qwen3-30B-A3B-GGUF,text-generation,"gguf, imatrix, qwen3_moe, conversational, ik_llama.cpp, text-generation, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, endpoints_compatible, region:us",20,8,unknown
sentence-transformers/all-mpnet-base-v2,sentence-similarity,"sentence-transformers, pytorch, onnx, safetensors, openvino, mpnet, fill-mask, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",18482476,1055,unknown
CompVis/stable-diffusion-v1-4,text-to-image,"diffusers, safetensors, stable-diffusion, stable-diffusion-diffusers, text-to-image, arxiv:2207.12598, arxiv:2112.10752, arxiv:2103.00020, arxiv:2205.11487, arxiv:1910.09700, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",1697455,6782,unknown
Salesforce/blip-image-captioning-base,image-to-text,"transformers, pytorch, tf, blip, image-text-to-text, image-captioning, image-to-text, arxiv:2201.12086, license:bsd-3-clause, endpoints_compatible, region:us",2750308,695,unknown
nerijs/pixel-art-xl,text-to-image,"diffusers, text-to-image, stable-diffusion, lora, base_model:stabilityai/stable-diffusion-xl-base-1.0, base_model:adapter:stabilityai/stable-diffusion-xl-base-1.0, license:creativeml-openrail-m, region:us",5890,512,unknown
pyannote/segmentation-3.0,voice-activity-detection,"pyannote-audio, pytorch, pyannote, pyannote-audio-model, audio, voice, speech, speaker, speaker-diarization, speaker-change-detection, speaker-segmentation, voice-activity-detection, overlapped-speech-detection, resegmentation, license:mit, region:us",12047347,450,unknown
HuggingFaceH4/zephyr-7b-beta,text-generation,"transformers, pytorch, safetensors, mistral, text-generation, generated_from_trainer, conversational, en, dataset:HuggingFaceH4/ultrachat_200k, dataset:HuggingFaceH4/ultrafeedback_binarized, arxiv:2305.18290, arxiv:2310.16944, arxiv:2305.14233, arxiv:2310.01377, base_model:mistralai/Mistral-7B-v0.1, base_model:finetune:mistralai/Mistral-7B-v0.1, license:mit, model-index, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",627640,1699,unknown
facebook/seamless-m4t-v2-large,automatic-speech-recognition,"transformers, safetensors, seamless_m4t_v2, feature-extraction, audio-to-audio, text-to-speech, seamless_communication, automatic-speech-recognition, af, am, ar, as, az, be, bn, bs, bg, ca, cs, zh, cy, da, de, el, en, et, fi, fr, or, om, ga, gl, gu, ha, he, hi, hr, hu, hy, ig, id, is, it, jv, ja, kn, ka, kk, mn, km, ky, ko, lo, ln, lt, lb, lg, lv, ml, mr, mk, mt, mi, my, nl, nb, ne, ny, oc, pa, ps, fa, pl, pt, ro, ru, sk, sl, sn, sd, so, es, sr, sv, sw, ta, te, tg, tl, th, tr, uk, ur, uz, vi, wo, xh, yo, ms, zu, ary, arz, yue, kea, arxiv:2312.05187, license:cc-by-nc-4.0, region:us",61383,824,unknown
TinyLlama/TinyLlama-1.1B-Chat-v1.0,text-generation,"transformers, safetensors, llama, text-generation, conversational, en, dataset:cerebras/SlimPajama-627B, dataset:bigcode/starcoderdata, dataset:HuggingFaceH4/ultrachat_200k, dataset:HuggingFaceH4/ultrafeedback_binarized, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1669507,1243,unknown
google/siglip-so400m-patch14-384,zero-shot-image-classification,"transformers, safetensors, siglip, zero-shot-image-classification, vision, arxiv:2303.15343, arxiv:2305.13035, arxiv:2209.06794, license:apache-2.0, endpoints_compatible, region:us",6366233,530,unknown
aaditya/Llama3-OpenBioLLM-70B,text-generation,"transformers, pytorch, llama, text-generation, llama-3, Mixtral, instruct, finetune, chatml, DPO, RLHF, gpt4, distillation, heathcare, medical, clinical, med, lifescience, Pharmaceutical, Pharma, conversational, en, arxiv:2305.18290, arxiv:2303.13375, arxiv:2212.13138, arxiv:2305.09617, arxiv:2402.07023, base_model:meta-llama/Meta-Llama-3-70B-Instruct, base_model:finetune:meta-llama/Meta-Llama-3-70B-Instruct, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",17608,433,unknown
alimama-creative/FLUX.1-Turbo-Alpha,text-to-image,"diffusers, safetensors, Text-to-Image, FLUX, Stable Diffusion, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:finetune:black-forest-labs/FLUX.1-dev, license:other, region:us",36659,513,unknown
HuggingFaceTB/SmolLM2-1.7B-Instruct,text-generation,"transformers, tensorboard, onnx, safetensors, llama, text-generation, transformers.js, conversational, en, arxiv:2502.02737, base_model:HuggingFaceTB/SmolLM2-1.7B, base_model:quantized:HuggingFaceTB/SmolLM2-1.7B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",83961,608,unknown
Snowflake/snowflake-arctic-embed-l-v2.0,sentence-similarity,"sentence-transformers, onnx, safetensors, xlm-roberta, feature-extraction, sentence-similarity, mteb, arctic, snowflake-arctic-embed, transformers.js, af, ar, az, be, bg, bn, ca, ceb, cs, cy, da, de, el, en, es, et, eu, fa, fi, fr, gl, gu, he, hi, hr, ht, hu, hy, id, is, it, ja, jv, ka, kk, km, kn, ko, ky, lo, lt, lv, mk, ml, mn, mr, ms, my, ne, nl, pa, pl, pt, qu, ro, ru, si, sk, sl, so, sq, sr, sv, sw, ta, te, th, tl, tr, uk, ur, vi, yo, zh, arxiv:2412.04506, license:apache-2.0, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",240450,162,unknown
JeffreyXiang/TRELLIS-image-large,image-to-3d,"trellis, image-to-3d, en, arxiv:2412.01506, license:mit, region:us",959647,512,unknown
Kijai/HunyuanVideo_comfy,,"gguf, license:other, region:us",8315,422,unknown
openfree/flux-lora-korea-palace,text-to-image,"diffusers, text-to-image, flux, lora, template:sd-lora, ai-toolkit, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",549,41,unknown
nvidia/Eagle2-2B,image-text-to-text,"transformers, safetensors, eagle_2_5_vl, feature-extraction, eagle, VLM, image-text-to-text, conversational, custom_code, multilingual, arxiv:2501.14818, base_model:Qwen/Qwen2.5-1.5B-Instruct, base_model:merge:Qwen/Qwen2.5-1.5B-Instruct, base_model:google/paligemma-3b-mix-448, base_model:merge:google/paligemma-3b-mix-448, base_model:google/siglip-so400m-patch14-384, base_model:merge:google/siglip-so400m-patch14-384, license:cc-by-nc-4.0, region:us",1032,24,unknown
allenai/olmOCR-7B-0225-preview,image-text-to-text,"transformers, safetensors, qwen2_vl, image-text-to-text, conversational, en, dataset:allenai/olmOCR-mix-0225, base_model:Qwen/Qwen2-VL-7B-Instruct, base_model:finetune:Qwen/Qwen2-VL-7B-Instruct, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",478751,626,unknown
openfree/casey,text-to-image,"diffusers, text-to-image, flux, lora, template:sd-lora, ai-toolkit, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",11,7,unknown
lerobot/pi0,robotics,"lerobot, safetensors, robotics, arxiv:2410.24164, license:apache-2.0, region:us",12886,233,unknown
NousResearch/DeepHermes-3-Llama-3-8B-Preview,text-generation,"transformers, safetensors, llama, text-generation, Llama-3, instruct, finetune, chatml, gpt4, synthetic data, distillation, function calling, json mode, axolotl, roleplaying, chat, reasoning, r1, vllm, conversational, en, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",45104,320,unknown
motimalu/wan-flat-color-v2,text-to-image,"diffusers, text-to-image, lora, template:diffusion-lora, base_model:Wan-AI/Wan2.1-T2V-14B, base_model:adapter:Wan-AI/Wan2.1-T2V-14B, license:apache-2.0, region:us",940,33,unknown
unsloth/gemma-3-27b-it-GGUF,image-text-to-text,"transformers, gguf, gemma3, image-text-to-text, unsloth, gemma, google, en, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-27b-it, base_model:quantized:google/gemma-3-27b-it, license:gemma, endpoints_compatible, region:us, imatrix, conversational",111132,114,unknown
google/gemma-3-4b-it-qat-q4_0-gguf,image-text-to-text,"gguf, gemma3, gemma, google, image-text-to-text, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-4b-it, base_model:quantized:google/gemma-3-4b-it, license:gemma, endpoints_compatible, region:us, conversational",20871,124,unknown
openfree/voice-crown-necklace,text-to-image,"diffusers, text-to-image, flux, lora, template:sd-lora, ai-toolkit, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",828,11,unknown
VIDraft/Gemma-3-R1984-27B,image-text-to-text,"transformers, safetensors, gemma3, image-text-to-text, conversational, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:google/gemma-3-27b-pt, base_model:finetune:google/gemma-3-27b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",1146,48,unknown
all-hands/openhands-lm-32b-v0.1,text-generation,"safetensors, qwen2, agent, coding, text-generation, conversational, en, dataset:SWE-Gym/SWE-Gym, arxiv:2412.21139, base_model:Qwen/Qwen2.5-Coder-32B-Instruct, base_model:finetune:Qwen/Qwen2.5-Coder-32B-Instruct, license:mit, region:us",312173,363,unknown
openfree/Gemma-3-R1984-27B-Q8_0-GGUF,image-text-to-text,"transformers, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:VIDraft/Gemma-3-R1984-27B, base_model:quantized:VIDraft/Gemma-3-R1984-27B, license:gemma, endpoints_compatible, region:us, conversational",871,15,unknown
openfree/Gemma-3-R1984-27B-Q4_K_M-GGUF,image-text-to-text,"transformers, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:VIDraft/Gemma-3-R1984-27B, base_model:quantized:VIDraft/Gemma-3-R1984-27B, license:gemma, endpoints_compatible, region:us, conversational",723,14,unknown
openfree/Gemma-3-R1984-12B-Q8_0-GGUF,image-text-to-text,"transformers, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:VIDraft/Gemma-3-R1984-12B, base_model:quantized:VIDraft/Gemma-3-R1984-12B, license:gemma, endpoints_compatible, region:us, conversational",1356,15,unknown
openfree/Gemma-3-R1984-12B-Q6_K-GGUF,image-text-to-text,"transformers, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, ko, ja, zh, es, ru, ar, hi, id, ml, fr, de, base_model:VIDraft/Gemma-3-R1984-12B, base_model:quantized:VIDraft/Gemma-3-R1984-12B, license:gemma, endpoints_compatible, region:us, conversational",1250,14,unknown
openfree/Mistral-Small-3.1-24B-Instruct-2503-Q6_K-GGUF,image-text-to-text,"vllm, gguf, llama-cpp, gguf-my-repo, image-text-to-text, en, fr, de, es, pt, it, ja, ko, ru, zh, ar, fa, id, ms, ne, pl, ro, sr, sv, tr, uk, vi, hi, bn, base_model:mistralai/Mistral-Small-3.1-24B-Instruct-2503, base_model:quantized:mistralai/Mistral-Small-3.1-24B-Instruct-2503, license:apache-2.0, region:us, conversational",627,8,unknown
openfree/Llama-3_3-Nemotron-Super-49B-v1-Q4_K_M-GGUF,text-generation,"transformers, gguf, nvidia, llama-3, pytorch, llama-cpp, gguf-my-repo, text-generation, en, base_model:nvidia/Llama-3_3-Nemotron-Super-49B-v1, base_model:quantized:nvidia/Llama-3_3-Nemotron-Super-49B-v1, license:other, endpoints_compatible, region:us, conversational",827,8,unknown
openfree/QwQ-32B-Q4_K_M-GGUF,text-generation,"transformers, gguf, chat, llama-cpp, gguf-my-repo, text-generation, en, base_model:Qwen/QwQ-32B, base_model:quantized:Qwen/QwQ-32B, license:apache-2.0, endpoints_compatible, region:us, conversational",1450,8,unknown
VIDraft/QwQ-R1984-32B,text-generation,"transformers, safetensors, qwen2, text-generation, abliterated, uncensored, SEARCH, conversational, en, base_model:Qwen/QwQ-32B, base_model:finetune:Qwen/QwQ-32B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",234,22,unknown
openfree/QwQ-R1984-32B-Q8_0-GGUF,,"transformers, gguf, abliterated, uncensored, SEARCH, llama-cpp, gguf-my-repo, en, base_model:VIDraft/QwQ-R1984-32B, base_model:quantized:VIDraft/QwQ-R1984-32B, license:apache-2.0, endpoints_compatible, region:us, conversational",653,11,unknown
openfree/QwQ-R1984-32B-Q4_K_M-GGUF,,"transformers, gguf, abliterated, uncensored, SEARCH, llama-cpp, gguf-my-repo, en, base_model:VIDraft/QwQ-R1984-32B, base_model:quantized:VIDraft/QwQ-R1984-32B, license:apache-2.0, endpoints_compatible, region:us, conversational",2422,14,unknown
nomic-ai/colnomic-embed-multimodal-7b,visual-document-retrieval,"peft, safetensors, vidore, colpali, multimodal_embedding, multilingual_embedding, Text-to-Visual Document (T→VD) retrieval, visual-document-retrieval, en, it, fr, de, es, dataset:llamaindex/vdr-multilingual-train, dataset:nomic-ai/colpali_train_set_split_by_source, arxiv:2407.01449, arxiv:2406.11251, base_model:Qwen/Qwen2.5-VL-7B-Instruct, base_model:adapter:Qwen/Qwen2.5-VL-7B-Instruct, license:apache-2.0, region:us",9111,48,unknown
meta-llama/Llama-4-Maverick-17B-128E-Instruct,image-text-to-text,"transformers, safetensors, llama4, image-text-to-text, facebook, meta, pytorch, llama, conversational, ar, de, en, es, fr, hi, id, it, pt, th, tl, vi, arxiv:2204.05149, base_model:meta-llama/Llama-4-Maverick-17B-128E, base_model:finetune:meta-llama/Llama-4-Maverick-17B-128E, license:other, text-generation-inference, endpoints_compatible, region:us",92547,315,unknown
monetjoe/hdemucs_high_musdbhq,,"license:mit, region:us",0,8,unknown
HiDream-ai/HiDream-I1-Fast,text-to-image,"diffusers, safetensors, image-generation, HiDream.ai, text-to-image, en, license:mit, diffusers:HiDreamImagePipeline, region:us",58598,78,unknown
facebook/blt,,"facebook, meta-pytorch, blt, en, arxiv:2412.09871, license:other, region:us",2,39,unknown
unsloth/Llama-4-Scout-17B-16E-Instruct-GGUF,image-text-to-text,"transformers, gguf, llama4, image-text-to-text, facebook, unsloth, meta, pytorch, llama, llama-4, ar, de, en, es, fr, hi, id, it, pt, th, tl, vi, arxiv:2204.05149, base_model:meta-llama/Llama-4-Scout-17B-16E-Instruct, base_model:quantized:meta-llama/Llama-4-Scout-17B-16E-Instruct, license:other, endpoints_compatible, region:us, imatrix, conversational",193313,77,unknown
facebook/Perception-LM-8B,image-text-to-text,"perception-encoder, facebook, meta, pytorch, plm, image-text-to-text, en, arxiv:2504.13180, license:other, region:us",935,30,unknown
huihui-ai/GLM-4-32B-0414-abliterated,text-generation,"transformers, safetensors, glm4, text-generation, abliterated, uncensored, conversational, zh, en, base_model:THUDM/GLM-4-32B-0414, base_model:finetune:THUDM/GLM-4-32B-0414, license:mit, autotrain_compatible, endpoints_compatible, region:us",117,17,unknown
dnad244/wan_random_loras,,"license:unknown, region:us",0,10,unknown
nvidia/DAM-3B-Video,image-text-to-text,"safetensors, llava_llama, image-text-to-text, en, dataset:nvidia/describe-anything-dataset, arxiv:2504.16072, base_model:Efficient-Large-Model/VILA1.5-3b, base_model:finetune:Efficient-Large-Model/VILA1.5-3b, license:other, region:us",12204,43,unknown
